Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Delta Time (s)	SNR NIST Quick (dB)	Tag	Notes	VF2
1	Spectrogram 1	11	197575.630000000	197576.570000000	78.100	246.900		54	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_064500Z.aif	71485MD02_002K_M11_multi_20150902_064500Z.aif	475.6300	0.9400	16.19	NARW	?	v
2	Spectrogram 1	11	197616.450000000	197617.100000000	80.500	201.100		54	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_064500Z.aif	71485MD02_002K_M11_multi_20150902_064500Z.aif	516.4500	0.6500	15.92	NARW	added by KBH	v
3	Spectrogram 1	11	197659.170000000	197660.190000000	109.400	303.100		54	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_064500Z.aif	71485MD02_002K_M11_multi_20150902_064500Z.aif	559.1700	1.0200	14.36	NARW	?	v
4	Spectrogram 1	11	197679.540000000	197680.590000000	118.800	293.800		54	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_064500Z.aif	71485MD02_002K_M11_multi_20150902_064500Z.aif	579.5400	1.0500	14.90	NARW	?	v
5	Spectrogram 1	11	198612.520000000	198613.660000000	96.900	278.100		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_070000Z.aif	71485MD02_002K_M11_multi_20150902_070000Z.aif	612.5200	1.1400	16.48	NARW	?	v
6	Spectrogram 1	11	199420.070000000	199420.860000000	114.900	275.900		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_071500Z.aif	71485MD02_002K_M11_multi_20150902_071500Z.aif	520.0700	0.7900	12.39	NARW	Added by KBH	v
7	Spectrogram 1	11	199442.540000000	199443.350000000	97.700	241.400		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_071500Z.aif	71485MD02_002K_M11_multi_20150902_071500Z.aif	542.5400	0.8100	15.06	NARW	Added by KBH	v
8	Spectrogram 1	11	199463.930000000	199464.620000000	114.900	252.900		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_071500Z.aif	71485MD02_002K_M11_multi_20150902_071500Z.aif	563.9300	0.6900	13.09	NARW	Added by KBH	v
9	Spectrogram 1	11	200157.620000000	200158.620000000	120.700	287.400		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_073000Z.aif	71485MD02_002K_M11_multi_20150902_073000Z.aif	357.6200	1.0000	16.03	NARW	Added by KBH	v
10	Spectrogram 1	11	200181.930000000	200182.930000000	103.100	275.000		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_073000Z.aif	71485MD02_002K_M11_multi_20150902_073000Z.aif	381.9300	1.0000	18.49	NARW	?	v
